acd_name,trial_id,registry,title,status,condition,intervention,phase,start_date,completion_date,role,sponsor,url
Dr Lynda Jane Spelman,12626000303347,ANZCTR,A phase 2 study to evaluate the efficacy of zabalafin hydrogel in treating Molluscum Contagiosum in participants of 6 months to 13 years of age.,"Active, not recruiting",Molluscum Contagiosum|Skin infection,Treatment: Drugs,Phase 2,2026-01-19,2026-03-11,Principal Investigator,"Alphyn Biologics, Inc.",
Dr Lynda Jane Spelman,12624000310561,ANZCTR,"A Phase 1, Open Label, First in Human (FIH) Study Investigating Photodynamic Therapy (PDT) with INV043 0.5% Ointment in Adults with Non-melanoma Skin Cancers",Recruiting,Non melanoma skin cancer,Treatment: Devices|Treatment: Drugs,Phase 1,2024-12-02,2025-08-30,Principal Investigator,Invion Limited ,
Dr Michelle Anne Rodrigues,12622000522718,ANZCTR,Comparison of the efficacy of two triple therapy topical combinations in the treatment of melasma ,Not yet recruiting,Melasma,Treatment: Drugs,Phase 1,2023-08-01,2023-10-01,Principal Investigator,Michelle Rodrigues,
Dr Michelle Anne Rodrigues,12616000548437,ANZCTR,Treatment of Melasma with Oral Tranexamic Acid ,Not yet recruiting,Melasma ,Treatment: Drugs,Phase 2,2016-05-28,2016-06-18,Principal Investigator,Dr Michelle Rodrigues ,
Dr Michelle Anne Rodrigues,12619000406101,ANZCTR,Treatment of Melasma with Cysteamine cream compared to Hydroquinone cream,Stopped early,Melasma,Treatment: Drugs,Phase 3,2019-05-04,2019-11-18,Principal Investigator,Dr Michelle Rodrigues,
Dr Orli  Wargon,12611000598987,ANZCTR,Prospective database for the management of venous malformations at Sydney Children's Hospital,Recruiting,Venous malformations,Not applicable,Not Applicable,2011-06-07,2024-12-31,Principal Investigator,Sydney Children's Hospital Randwick,
Dr Orli  Wargon,12616000943448,ANZCTR,5 year study of 6 children each year with vascular anomalies who have severe complications failing to respond to the usual treatments will be offered a new use of an old medication- sirolimus,Recruiting,Complex lymphatic malformations|Complex vascular malformations|Generalised lymphatic anomalies|PIKC3A related overgrowth syndrome (PROS)|Vascular tumours (tufted angiomas and kaposiform haemangioendotheliomas),Treatment: Drugs,Phase 1,2017-03-31,,Principal Investigator,"Sydney Children's Hospital, Randwick",
Dr Pascale Rovel Guitera,12626000673347,ANZCTR,"Skin Cancer UNCUT: Beyond 'if in doubt, cut it out'. A randomised controlled trial of adjunctive in vivo reflectance confocal microscopy for skin cancer diagnosis.",Not yet recruiting,Basal Call Carcinoma (BCC)|Melanoma,Diagnosis / Prognosis,Not Applicable,2026-07-01,,Principal Investigator,The University of Sydney ,
Dr Pascale Rovel Guitera,12615000266561,ANZCTR,"A randomised controlled multicentre trial of imiquimod versus radiotherapy for lentigo maligna (LM) when staged surgical excision with 5mm margins is not possible, is refused, or fails.",Completed,Lentigo maligna (LM),Treatment: Drugs,Phase 3,2015-08-31,2021-02-24,Principal Investigator,Melanoma and Skin Cancer (MASC) Trials,
Dr Pascale Rovel Guitera,12614000751673,ANZCTR,Investigation of the Vivosight system for diagnosis and assistance in the management of cutaneous basal cell carcinoma (BCC),Completed,Cutaneous basal cell carcinoma,Diagnosis / Prognosis,Not Applicable,2014-03-27,2015-03-26,Principal Investigator,Melanoma Institute of Australia,
